origin,destination,km,km_road,km_rail,km_pipe
8,37,983.953,0.039379,286.989,652.682
8,38,978.86,0.039379,286.989,643.1
8,39,266.231,0.039379,0.0,263.333
8,40,311.889,0.039379,0.0,304.373
8,41,1.97663,0.039379,0.0,0.0
8,42,467.414,0.039379,0.0,465.241
8,43,1102.69,0.039379,286.989,776.516
8,44,973.601,0.039379,286.989,644.362
8,45,310.75,0.039379,0.0,306.72
8,46,146.765,0.039379,0.0,138.009
8,47,1268.75,0.039379,286.989,936.261
8,48,1016.89,0.039379,286.989,691.438
8,49,1142.19,0.039379,286.989,815.553
8,50,953.013,0.039379,286.989,627.62
8,51,956.83,0.039379,286.989,627.917
8,52,212.922,0.039379,0.0,206.367
8,53,257.82,0.039379,0.0,249.557
8,54,265.818,0.039379,0.0,262.283
